trade_number,entry_type,exit_type,entry_datetime,exit_datetime,direction,entry_price,exit_price,size_qty,actual_quantity,size_value,lot_notional_usd,gross_pnl,net_pnl,net_pnl_inr,net_pnl_pct,favorable_excursion,favorable_excursion_pct,adverse_excursion,adverse_excursion_pct,cumulative_pnl,cumulative_pnl_inr,cumulative_pnl_pct,margin_required,taker_fees_usd,slippage_usd,funding_usd,insurance_usd,tax_usd,total_charges_usd,stop_loss
61,RE_ENTRY,SL_HIT_SUPERTREND,2026-03-30 19:00:00,2026-03-30 19:00:00,short,66524.5,66647.5,1,0,66.52,100.0,-0.12,-5.22,-438.73,-0.01,0.0,0.0,123.0,0.18,-352.42,-29602.9,-0.35,6.65,0.1,5,0.0,0,0.0,5.1,64233.41
62,FIRST_ENTRY,SL_HIT_SUPERTREND,2026-04-01 18:00:00,2026-04-01 18:00:00,short,68061.5,68298.0,1,0,68.06,100.0,-0.24,-5.34,-448.27,-0.01,0.0,0.0,236.5,0.35,-357.75,-30051.17,-0.36,6.81,0.1,5,0.0,0,0.0,5.1,64233.41
63,FIRST_ENTRY,SL_HIT_SUPERTREND,2026-04-07 01:00:00,2026-04-07 01:00:00,short,68370.0,68885.5,1,0,68.37,100.0,-0.52,-5.62,-471.7,-0.01,0.0,0.0,515.5,0.75,-363.37,-30522.87,-0.36,6.84,0.1,5,0.0,0,0.0,5.1,64233.41
64,FIRST_ENTRY,SL_HIT_SUPERTREND,2026-04-08 14:00:00,2026-04-08 14:00:00,short,70895.5,71734.0,1,0,70.9,100.0,-0.84,-5.94,-498.83,-0.01,0.0,0.0,838.5,1.18,-369.31,-31021.7,-0.37,7.09,0.1,5,0.0,0,0.0,5.1,64233.41
65,FIRST_ENTRY,SL_HIT_SUPERTREND,2026-04-09 00:00:00,2026-04-09 00:00:00,short,70788.5,71114.5,1,0,70.79,100.0,-0.33,-5.43,-455.78,-0.01,0.0,0.0,326.0,0.46,-374.73,-31477.49,-0.37,7.08,0.1,5,0.0,0,0.0,5.1,64233.41
66,FIRST_ENTRY,SL_HIT_SUPERTREND,2026-04-09 23:00:00,2026-04-09 23:00:00,short,71770.0,72006.5,1,0,71.77,100.0,-0.24,-5.34,-448.27,-0.01,0.0,0.0,236.5,0.33,-380.07,-31925.75,-0.38,7.18,0.1,5,0.0,0,0.0,5.1,64233.41
67,FIRST_ENTRY,SL_HIT_SUPERTREND,2026-04-12 14:00:00,2026-04-12 14:00:00,short,70722.0,71071.5,1,0,70.72,100.0,-0.35,-5.45,-457.76,-0.01,0.0,0.0,349.5,0.49,-385.52,-32383.51,-0.39,7.07,0.1,5,0.0,0,0.0,5.1,64233.41
68,FIRST_ENTRY,SL_HIT_SUPERTREND,2026-04-14 18:00:00,2026-04-14 18:00:00,short,74056.5,74772.5,1,0,74.06,100.0,-0.72,-5.82,-488.54,-0.01,0.0,0.0,716.0,0.97,-391.33,-32872.06,-0.39,7.41,0.1,5,0.0,0,0.0,5.1,64233.41
69,FIRST_ENTRY,SL_HIT_SUPERTREND,2026-04-16 13:00:00,2026-04-16 13:00:00,short,73762.5,74989.0,1,0,73.76,100.0,-1.23,-6.33,-531.43,-0.01,0.0,0.0,1226.5,1.66,-397.66,-33403.48,-0.4,7.38,0.1,5,0.0,0,0.0,5.1,64233.41
70,FIRST_ENTRY,SL_HIT_SUPERTREND,2026-04-19 09:00:00,2026-04-19 09:00:00,short,74975.0,75231.5,1,0,74.98,100.0,-0.26,-5.36,-449.95,-0.01,0.0,0.0,256.5,0.34,-403.02,-33853.43,-0.4,7.5,0.1,5,0.0,0,0.0,5.1,64233.41
71,FIRST_ENTRY,SL_HIT_SUPERTREND,2026-04-21 19:00:00,2026-04-21 19:00:00,short,74988.0,75882.0,1,0,74.99,100.0,-0.89,-5.99,-503.5,-0.01,0.0,0.0,894.0,1.19,-409.01,-34356.92,-0.41,7.5,0.1,5,0.0,0,0.0,5.1,64233.41
72,FIRST_ENTRY,SL_HIT_SUPERTREND,2026-04-23 10:00:00,2026-04-23 10:00:00,short,77362.5,77678.5,1,0,77.36,100.0,-0.32,-5.42,-454.94,-0.01,0.0,0.0,316.0,0.41,-414.43,-34811.87,-0.41,7.74,0.1,5,0.0,0,0.0,5.1,64233.41
73,FIRST_ENTRY,SL_HIT_SUPERTREND,2026-04-24 09:00:00,2026-04-24 09:00:00,short,77497.5,77765.0,1,0,77.5,100.0,-0.27,-5.37,-450.87,-0.01,0.0,0.0,267.5,0.35,-419.79,-35262.74,-0.42,7.75,0.1,5,0.0,0,0.0,5.1,64233.41
74,FIRST_ENTRY,SL_HIT_SUPERTREND,2026-05-07 03:00:00,2026-05-07 03:00:00,short,80797.5,81076.5,1,0,80.8,100.0,-0.28,-5.38,-451.84,-0.01,0.0,0.0,279.0,0.35,-425.17,-35714.57,-0.43,8.08,0.1,5,0.0,0,0.0,5.1,64233.41
75,FIRST_ENTRY,SL_HIT_SUPERTREND,2026-05-12 16:00:00,2026-05-12 16:00:00,short,79967.5,80401.0,1,0,79.97,100.0,-0.43,-5.53,-464.81,-0.01,0.0,0.0,433.5,0.54,-430.71,-36179.39,-0.43,8.0,0.1,5,0.0,0,0.0,5.1,64233.41
